NAME,Metricname,SeenNum,SeenDenom,SeenAvg
"Payne-Zajac PA-C, Patricia",2019 Active Portal Patients,159,653,24.35%
"Ploudre MD, Jonathan",2019 Active Portal Patients,291,1446,20.12%
"Raduege MD, John",2019 Active Portal Patients,576,1588,36.27%
"Regier ARNP, Teresa",2019 Active Portal Patients,138,166,19.87%
"Rey MD, Claudia",2019 Active Portal Patients,330,1560,21.15%
"Rieger MD, Robert",2019 Active Portal Patients,208,1258,16.53%
"Roessler MD, Deborah",2019 Active Portal Patients,813,2021,40.22%
"Safford MD, Bertha",2019 Active Portal Patients,294,840,35.00%
"Sauve ARNP, Lauren",2019 Active Portal Patients,354,1431,24.74%
"Schimke, MD, Melana",2019 Active Portal Patients,600,1066,56.29%
"Shapiro MD, Miriam",2019 Active Portal Patients,506,1065,47.51%
"Short MD, Jason",2019 Active Portal Patients,602,1915,31.44%
"Short MD, Vicki",2019 Active Portal Patients,588,1439,40.86%
"Snyder DO, Ashley",2019 Active Portal Patients,586,1699,34.49%
"Snyder MD, Walter Kalani",2019 Active Portal Patients,421,1686,24.97%
"Swanson MD, Mary",2019 Active Portal Patients,348,948,36.71%
"Sweeney MD, Margaret",2019 Active Portal Patients,228,1191,19.14%
"Thomson ARNP, Heather",2019 Active Portal Patients,245,647,37.87%
"VanHofwegen MD, Lisa",2019 Active Portal Patients,413,924,44.70%
"Wakefield-Pagels MD, April",2019 Active Portal Patients,604,1803,33.50%
"Walls MD, Ashlee",2019 Active Portal Patients,312,663,47.06%
"Welty MD, Joy",2019 Active Portal Patients,334,952,35.08%
"Werner MD, Matt",2019 Active Portal Patients,567,1838,30.85%
"Winkes MD, L Sloane",2019 Active Portal Patients,144,717,20.08%
"Wu MD, Chao-Ying",2019 Active Portal Patients,501,1167,42.93%
Birch Bay Family Medicine,2019 Active Portal Patients,866,3795,22.82%
Family Health Associates,2019 Active Portal Patients,5232,12019,43.53%
Ferndale Family Medical Center,2019 Active Portal Patients,2172,9257,23.46%
Island Family Physicians,2019 Active Portal Patients,1152,5752,20.03%
Lynden Family Medicine,2019 Active Portal Patients,3556,12555,28.32%
North Cascade Family Physicians,2019 Active Portal Patients,2716,12911,21.04%
North Sound Family Medicine,2019 Active Portal Patients,5626,15308,36.75%
Squalicum Family Medicine,2019 Active Portal Patients,3565,10015,35.60%
Whatcom Family Medicine,2019 Active Portal Patients,1617,4236,38.17%
Bellingham Bay Medical Center,2019 Active Portal Patients,4224,8837,47.80%
